game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,median_latency,failure_rate,n_events,n_failures
2215848,1_0,1,40784,147,tired_mans_intercept,8.937,172500,3.88,0.6667,21,14
2215848,1_1,1,40784,147,tired_mans_intercept,8.55,172498,3.7,0.6522,23,15
2215848,1_2,1,40784,147,tired_mans_intercept,3.289,172500,0.0,0.3571,14,5
2215848,1_3,1,40784,147,tired_mans_intercept,6.287,172500,2.18,0.1429,7,1
2215848,1_4,1,40784,147,tired_mans_intercept,3.362,172500,1.54,0.2727,22,6
2215848,1_5,1,40784,147,tired_mans_intercept,4.957,172500,2.72,0.3333,18,6
2215848,1_6,1,40784,147,tired_mans_intercept,12.87,172500,12.24,0.3333,6,2
2215848,1_7,1,40784,147,tired_mans_intercept,8.364,172500,5.36,0.5,18,9
2215848,1_8,1,40784,147,tired_mans_intercept,8.702,172500,1.04,0.3529,17,6
2215848,1_9,1,40784,147,tired_mans_intercept,3.657,103177,0.0,0.5,14,7
2215848,2_0,2,40784,147,tired_mans_intercept,5.608,172500,2.44,0.4737,19,9
2215848,2_1,2,40784,147,tired_mans_intercept,1.687,172500,0.72,0.6471,17,11
2215848,2_2,2,40784,147,tired_mans_intercept,4.486,172500,2.32,0.35,20,7
2215848,2_3,2,40784,147,tired_mans_intercept,5.871,172498,2.56,0.5263,19,10
2215848,2_4,2,40784,147,tired_mans_intercept,12.406,172500,6.72,0.7586,29,22
2215848,2_5,2,40784,147,tired_mans_intercept,3.978,172500,0.72,0.4583,24,11
2215848,2_6,2,40784,147,tired_mans_intercept,7.804,172500,0.48,0.2143,14,3
2215848,2_7,2,40784,147,tired_mans_intercept,8.16,172495,4.58,0.625,16,10
2215848,2_8,2,40784,147,tired_mans_intercept,10.64,172500,6.2,0.5,10,5
2215848,2_9,2,40784,147,tired_mans_intercept,8.88,172499,4.4,0.0,9,0
2215848,1_0,1,78275,147,tired_mans_intercept,2.087,172500,0.0,0.4286,28,12
2215848,1_1,1,78275,147,tired_mans_intercept,1.198,172498,0.0,0.3548,31,11
2215848,1_2,1,78275,147,tired_mans_intercept,1.805,172500,0.0,0.2258,31,7
2215848,1_3,1,78275,147,tired_mans_intercept,4.397,172500,2.4,0.4615,26,12
2215848,1_4,1,78275,147,tired_mans_intercept,4.491,172500,0.18,0.3714,35,13
2215848,1_5,1,78275,147,tired_mans_intercept,2.615,172500,1.26,0.5429,35,19
2215848,1_6,1,78275,147,tired_mans_intercept,3.101,172500,0.4,0.425,40,17
2215848,1_7,1,78275,147,tired_mans_intercept,0.93,172500,0.0,0.5714,28,16
2215848,1_8,1,78275,147,tired_mans_intercept,5.461,172500,0.2,0.25,20,5
2215848,1_9,1,78275,147,tired_mans_intercept,1.564,103177,0.0,0.3125,16,5
2215848,2_0,2,78275,147,tired_mans_intercept,2.539,172500,0.0,0.2895,38,11
2215848,2_1,2,78275,147,tired_mans_intercept,0.865,172500,0.0,0.4211,19,8
2215848,2_2,2,78275,147,tired_mans_intercept,2.786,172500,0.3,0.5172,29,15
2215848,2_3,2,78275,147,tired_mans_intercept,2.74,172498,0.42,0.6923,26,18
2215848,2_4,2,78275,147,tired_mans_intercept,2.474,172500,0.96,0.65,40,26
2215848,2_5,2,78275,147,tired_mans_intercept,3.755,172500,2.44,0.3929,28,11
2215848,2_6,2,78275,147,tired_mans_intercept,1.558,172500,0.48,0.3548,31,11
2215848,2_7,2,78275,147,tired_mans_intercept,3.06,172495,0.44,0.5263,38,20
2215848,2_8,2,78275,147,tired_mans_intercept,1.2,172500,1.2,0.5,2,1
2215848,1_0,1,97041,147,tired_mans_intercept,0.757,172500,0.28,0.566,53,30
2215848,1_1,1,97041,147,tired_mans_intercept,1.907,172498,0.38,0.5135,37,19
2215848,1_2,1,97041,147,tired_mans_intercept,1.013,172500,0.0,0.3111,45,14
2215848,1_3,1,97041,147,tired_mans_intercept,1.645,172500,0.22,0.5217,46,24
2215848,1_4,1,97041,147,tired_mans_intercept,2.356,172500,0.0,0.4595,37,17
2215848,1_5,1,97041,147,tired_mans_intercept,2.24,172500,0.84,0.4865,37,18
2215848,1_6,1,97041,147,tired_mans_intercept,1.83,172500,0.0,0.5556,45,25
2215848,1_7,1,97041,147,tired_mans_intercept,2.56,172500,0.68,0.5714,28,16
2215848,1_8,1,97041,147,tired_mans_intercept,3.436,172500,0.4,0.5128,39,20
2215848,1_9,1,97041,147,tired_mans_intercept,2.657,103177,0.44,0.4783,23,11
2215848,2_0,2,97041,147,tired_mans_intercept,1.597,172500,0.32,0.4167,48,20
2215848,2_1,2,97041,147,tired_mans_intercept,1.267,172500,0.18,0.6538,52,34
2215848,2_2,2,97041,147,tired_mans_intercept,3.171,172500,0.8,0.3243,37,12
2215848,2_3,2,97041,147,tired_mans_intercept,3.96,172498,2.52,0.5556,27,15
2215848,2_4,2,97041,147,tired_mans_intercept,1.139,172500,0.0,0.4821,56,27
2215848,2_5,2,97041,147,tired_mans_intercept,2.904,172500,2.64,0.6341,41,26
2215848,2_6,2,97041,147,tired_mans_intercept,1.166,172500,0.0,0.4,45,18
2215848,2_7,2,97041,147,tired_mans_intercept,1.204,172495,0.0,0.6111,54,33
2215848,2_8,2,97041,147,tired_mans_intercept,0.768,172500,0.0,0.5,42,21
2215848,2_9,2,97041,147,tired_mans_intercept,,172499,,1.0,1,1
2215848,1_0,1,116627,147,tired_mans_intercept,1.06,172500,0.0,0.5294,51,27
2215848,1_1,1,116627,147,tired_mans_intercept,2.291,172498,0.88,0.6216,37,23
2215848,1_2,1,116627,147,tired_mans_intercept,1.76,172500,0.48,0.4615,52,24
2215848,1_3,1,116627,147,tired_mans_intercept,1.381,172500,0.0,0.4706,51,24
2215848,1_4,1,116627,147,tired_mans_intercept,1.66,172500,0.62,0.5897,39,23
2215848,1_5,1,116627,147,tired_mans_intercept,2.814,172500,0.72,0.5238,42,22
2215848,1_6,1,116627,147,tired_mans_intercept,3.865,172500,1.28,0.4839,31,15
2215848,1_7,1,116627,147,tired_mans_intercept,2.977,172500,1.12,0.625,32,20
2215848,1_8,1,116627,147,tired_mans_intercept,2.485,172500,0.16,0.4634,41,19
2215848,1_9,1,116627,147,tired_mans_intercept,1.305,103177,0.0,0.4762,21,10
2215848,2_0,2,116627,147,tired_mans_intercept,2.786,172500,0.62,0.4595,37,17
2215848,2_1,2,116627,147,tired_mans_intercept,2.317,172500,0.52,0.5312,32,17
2215848,2_2,2,116627,147,tired_mans_intercept,0.995,172500,0.0,0.5593,59,33
2215848,2_3,2,116627,147,tired_mans_intercept,5.747,172498,0.52,0.55,40,22
2215848,2_4,2,116627,147,tired_mans_intercept,1.768,172500,0.0,0.7143,35,25
2215848,2_5,2,116627,147,tired_mans_intercept,1.186,172500,0.0,0.6383,47,30
2215848,2_6,2,116627,147,tired_mans_intercept,2.678,172500,0.0,0.6383,47,30
2215848,2_7,2,116627,147,tired_mans_intercept,1.271,172495,0.0,0.7174,46,33
2215848,2_8,2,116627,147,tired_mans_intercept,3.625,172500,0.0,0.4865,37,18
2215848,2_9,2,116627,147,tired_mans_intercept,6.403,172499,0.74,0.6129,31,19
2215848,1_0,1,154048,147,tired_mans_intercept,2.504,172500,0.0,0.5714,42,24
2215848,1_1,1,154048,147,tired_mans_intercept,8.469,172498,1.52,0.5484,31,17
2215848,1_2,1,154048,147,tired_mans_intercept,0.772,172500,0.0,0.4667,45,21
2215848,1_3,1,154048,147,tired_mans_intercept,3.697,172500,0.16,0.3659,41,15
2215848,1_4,1,154048,147,tired_mans_intercept,2.84,172500,0.64,0.5185,27,14
2215848,1_5,1,154048,147,tired_mans_intercept,2.432,172500,0.0,0.4412,34,15
2215848,1_6,1,154048,147,tired_mans_intercept,2.925,172500,0.72,0.4138,29,12
2215848,1_7,1,154048,147,tired_mans_intercept,1.415,172500,0.0,0.4074,27,11
2215848,1_8,1,154048,147,tired_mans_intercept,0.493,172500,0.0,0.5714,35,20
2215848,1_9,1,154048,147,tired_mans_intercept,4.323,103177,2.18,0.4783,23,11
2215848,2_0,2,154048,147,tired_mans_intercept,1.173,172500,0.36,0.5455,33,18
2215848,2_1,2,154048,147,tired_mans_intercept,6.464,172500,0.92,0.5833,36,21
2215848,2_2,2,154048,147,tired_mans_intercept,1.603,172500,0.32,0.4286,28,12
2215848,2_3,2,154048,147,tired_mans_intercept,5.185,172498,4.44,0.48,25,12
2215848,2_4,2,154048,147,tired_mans_intercept,3.631,172500,0.0,0.6,35,21
2215848,2_5,2,154048,147,tired_mans_intercept,2.77,172500,1.54,0.4783,46,22
2215848,2_6,2,154048,147,tired_mans_intercept,1.848,172500,0.96,0.5161,31,16
2215848,2_7,2,154048,147,tired_mans_intercept,3.697,172495,2.72,0.5294,34,18
2215848,2_8,2,154048,147,tired_mans_intercept,0.0,172500,0.0,0.5,4,2
2215848,1_0,1,206340,147,tired_mans_intercept,4.717,172500,2.5,0.6,35,21
2215848,1_1,1,206340,147,tired_mans_intercept,2.54,172498,0.0,0.6667,36,24
2215848,1_2,1,206340,147,tired_mans_intercept,3.998,172500,1.04,0.4571,35,16
2215848,1_3,1,206340,147,tired_mans_intercept,3.861,172500,0.52,0.5,38,19
2215848,1_4,1,206340,147,tired_mans_intercept,3.892,172500,0.1,0.5429,35,19
2215848,1_5,1,206340,147,tired_mans_intercept,1.509,172500,0.0,0.5263,38,20
2215848,1_6,1,206340,147,tired_mans_intercept,7.671,172500,2.64,0.5,26,13
2215848,1_7,1,206340,147,tired_mans_intercept,3.93,172500,0.6,0.5556,27,15
2215848,1_8,1,206340,147,tired_mans_intercept,5.857,172500,1.16,0.4815,27,13
2215848,1_9,1,206340,147,tired_mans_intercept,0.825,103177,0.0,0.5769,26,15
2215848,2_0,2,206340,147,tired_mans_intercept,3.025,172500,1.36,0.3871,31,12
2215848,2_1,2,206340,147,tired_mans_intercept,4.32,172500,0.0,0.5,24,12
2215848,2_2,2,206340,147,tired_mans_intercept,2.32,172500,0.6,0.3429,35,12
2215848,2_3,2,206340,147,tired_mans_intercept,8.092,172498,4.04,0.5,20,10
2215848,2_4,2,206340,147,tired_mans_intercept,6.365,172500,0.58,0.75,32,24
2215848,2_5,2,206340,147,tired_mans_intercept,3.061,172500,0.0,0.5455,33,18
2215848,2_6,2,206340,147,tired_mans_intercept,2.77,172500,1.1,0.3548,31,11
2215848,2_7,2,206340,147,tired_mans_intercept,5.836,172495,1.0,0.5714,21,12
2215848,2_8,2,206340,147,tired_mans_intercept,2.273,172500,0.76,0.6071,28,17
2215848,2_9,2,206340,147,tired_mans_intercept,6.063,172499,4.4,0.6111,18,11
2215848,1_0,1,209218,147,tired_mans_intercept,2.229,172500,0.76,0.6316,19,12
2215848,1_1,1,209218,147,tired_mans_intercept,4.608,172498,4.6,0.75,20,15
2215848,1_2,1,209218,147,tired_mans_intercept,7.937,172500,5.64,0.3636,11,4
2215848,1_3,1,209218,147,tired_mans_intercept,7.448,172500,1.36,0.2857,7,2
2215848,1_4,1,209218,147,tired_mans_intercept,2.64,172500,0.36,0.6,20,12
2215848,1_5,1,209218,147,tired_mans_intercept,2.218,172500,2.64,0.4375,16,7
2215848,1_6,1,209218,147,tired_mans_intercept,15.08,172500,15.08,0.5,4,2
2215848,1_7,1,209218,147,tired_mans_intercept,9.208,172500,8.16,0.4444,9,4
2215848,1_8,1,209218,147,tired_mans_intercept,19.24,172500,5.64,0.7692,13,10
2215848,1_9,1,209218,147,tired_mans_intercept,8.72,103177,2.82,0.6667,12,8
2215848,2_0,2,209218,147,tired_mans_intercept,2.06,172500,1.1,0.5,12,6
2215848,2_1,2,209218,147,tired_mans_intercept,10.168,172500,4.56,0.4444,9,4
2215848,2_2,2,209218,147,tired_mans_intercept,7.625,172500,1.52,0.3846,13,5
2215848,2_3,2,209218,147,tired_mans_intercept,3.08,172498,3.68,0.25,4,1
2215848,2_4,2,209218,147,tired_mans_intercept,2.171,172500,0.0,0.7667,30,23
2215848,2_5,2,209218,147,tired_mans_intercept,4.893,172500,2.56,0.6842,19,13
2215848,2_6,2,209218,147,tired_mans_intercept,4.41,172500,1.7,0.3333,6,2
2215848,2_7,2,209218,147,tired_mans_intercept,0.667,172495,0.6,0.6667,9,6
2215848,2_8,2,209218,147,tired_mans_intercept,4.16,172500,4.16,0.6,5,3
2215848,2_9,2,209218,147,tired_mans_intercept,5.293,172499,2.32,0.25,4,1
2215848,1_0,1,428989,147,tired_mans_intercept,2.309,172500,0.0,0.5161,31,16
2215848,1_1,1,428989,147,tired_mans_intercept,2.469,172498,0.0,0.3182,22,7
2215848,1_2,1,428989,147,tired_mans_intercept,1.888,172500,0.96,0.5455,33,18
2215848,1_3,1,428989,147,tired_mans_intercept,5.443,172500,1.3,0.3684,19,7
2215848,1_4,1,428989,147,tired_mans_intercept,3.394,172500,0.44,0.1364,22,3
2215848,1_5,1,428989,147,tired_mans_intercept,3.911,172500,1.76,0.15,20,3
2215848,1_6,1,428989,147,tired_mans_intercept,3.186,172500,0.0,0.4615,26,12
2215848,1_7,1,428989,147,tired_mans_intercept,3.02,172500,0.0,0.5714,14,8
2215848,1_8,1,428989,147,tired_mans_intercept,4.968,172500,0.9,0.375,16,6
2215848,1_9,1,428989,147,tired_mans_intercept,3.127,103177,1.64,0.3529,17,6
2215848,2_0,2,428989,147,tired_mans_intercept,4.158,172500,1.32,0.4722,36,17
2215848,2_1,2,428989,147,tired_mans_intercept,4.88,172500,1.6,0.5714,21,12
2215848,2_2,2,428989,147,tired_mans_intercept,3.518,172500,1.66,0.3846,26,10
2215848,2_3,2,428989,147,tired_mans_intercept,8.515,172498,1.92,0.4286,14,6
2215848,2_4,2,428989,147,tired_mans_intercept,3.14,172500,0.38,0.7222,36,26
2215848,2_5,2,428989,147,tired_mans_intercept,2.16,172500,0.0,0.4706,34,16
2215848,2_6,2,428989,147,tired_mans_intercept,2.862,172500,1.52,0.3571,28,10
2215848,2_7,2,428989,147,tired_mans_intercept,1.794,172495,0.0,0.5938,32,19
2215848,2_8,2,428989,147,tired_mans_intercept,3.213,172500,1.66,0.6129,31,19
2215848,2_9,2,428989,147,tired_mans_intercept,1.576,172499,0.0,0.6154,26,16
2215848,2_7,2,440143,147,tired_mans_intercept,2.855,172495,2.72,0.5217,23,12
2215848,2_8,2,440143,147,tired_mans_intercept,1.453,172500,0.0,0.5,36,18
2215848,2_9,2,440143,147,tired_mans_intercept,2.858,172499,0.0,0.381,21,8
2215848,2_8,2,467512,147,tired_mans_intercept,2.562,172500,0.0,0.5676,37,21
2215848,2_9,2,467512,147,tired_mans_intercept,2.333,172499,0.72,0.4571,35,16
2215848,2_10,2,467512,147,tired_mans_intercept,0.88,6544,0.88,0.0,1,0
2215848,1_0,1,477368,147,tired_mans_intercept,2.645,172500,0.0,0.5556,36,20
