game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,median_latency,failure_rate,n_events,n_failures
2215813,1_0,1,83912,146,tired_mans_intercept,2.352,172500,0.68,0.5652,46,26
2215813,1_1,1,83912,146,tired_mans_intercept,3.63,172500,0.82,0.5152,33,17
2215813,1_2,1,83912,146,tired_mans_intercept,2.467,172500,0.84,0.4,40,16
2215813,1_3,1,83912,146,tired_mans_intercept,3.44,172500,1.72,0.5385,26,14
2215813,1_4,1,83912,146,tired_mans_intercept,1.989,172500,0.0,0.3,30,9
2215813,1_5,1,83912,146,tired_mans_intercept,2.845,172500,0.8,0.5312,32,17
2215813,1_6,1,83912,146,tired_mans_intercept,3.569,172500,0.0,0.4359,39,17
2215813,1_7,1,83912,146,tired_mans_intercept,1.572,172500,0.0,0.4444,36,16
2215813,1_8,1,83912,146,tired_mans_intercept,1.998,172500,0.0,0.58,50,29
2215813,1_9,1,83912,146,tired_mans_intercept,0.55,34522,0.0,0.5,8,4
2215813,2_0,2,83912,146,tired_mans_intercept,0.984,172500,0.2,0.4643,28,13
2215813,2_1,2,83912,146,tired_mans_intercept,2.164,172500,1.38,0.5238,42,22
2215813,2_2,2,83912,146,tired_mans_intercept,3.152,172500,1.16,0.5161,31,16
2215813,2_3,2,83912,146,tired_mans_intercept,3.724,172500,1.9,0.3103,29,9
2215813,2_4,2,83912,146,tired_mans_intercept,2.114,172500,0.58,0.3659,41,15
2215813,2_5,2,83912,146,tired_mans_intercept,4.173,172499,3.28,0.7857,14,11
2215813,1_0,1,85370,146,tired_mans_intercept,1.815,172500,0.2,0.4906,53,26
2215813,1_1,1,85370,146,tired_mans_intercept,0.921,172500,0.0,0.4043,47,19
2215813,1_2,1,85370,146,tired_mans_intercept,1.19,172500,0.0,0.5294,51,27
2215813,1_3,1,85370,146,tired_mans_intercept,2.524,172500,0.2,0.4359,39,17
2215813,1_4,1,85370,146,tired_mans_intercept,1.617,172500,0.0,0.2619,42,11
2215813,1_5,1,85370,146,tired_mans_intercept,1.911,172500,0.16,0.5526,38,21
2215813,1_6,1,85370,146,tired_mans_intercept,0.779,172500,0.2,0.4167,48,20
2215813,1_7,1,85370,146,tired_mans_intercept,1.31,172500,0.72,0.4318,44,19
2215813,1_8,1,85370,146,tired_mans_intercept,1.427,172500,0.0,0.4615,39,18
2215813,1_9,1,85370,146,tired_mans_intercept,1.24,34522,0.14,0.6,10,6
2215813,2_0,2,85370,146,tired_mans_intercept,2.828,172500,0.68,0.4783,46,22
2215813,2_1,2,85370,146,tired_mans_intercept,1.924,172500,0.08,0.3043,46,14
2215813,2_2,2,85370,146,tired_mans_intercept,1.661,172500,0.0,0.4412,34,15
2215813,2_3,2,85370,146,tired_mans_intercept,1.949,172500,0.0,0.5,38,19
2215813,2_4,2,85370,146,tired_mans_intercept,0.717,172500,0.0,0.7045,44,31
2215813,2_5,2,85370,146,tired_mans_intercept,4.082,172499,0.08,0.5556,36,20
2215813,2_6,2,85370,146,tired_mans_intercept,1.358,172499,0.0,0.5349,43,23
2215813,2_7,2,85370,146,tired_mans_intercept,2.007,172500,0.0,0.5217,46,24
2215813,2_8,2,85370,146,tired_mans_intercept,2.332,172500,0.6,0.5652,46,26
2215813,2_9,2,85370,146,tired_mans_intercept,2.987,117322,1.52,0.7353,34,25
2215813,1_0,1,115327,146,tired_mans_intercept,3.326,172500,0.44,0.48,25,12
2215813,1_1,1,115327,146,tired_mans_intercept,2.148,172500,0.0,0.4516,31,14
2215813,1_2,1,115327,146,tired_mans_intercept,5.848,172500,1.84,0.4118,17,7
2215813,1_3,1,115327,146,tired_mans_intercept,1.653,172500,0.0,0.5476,42,23
2215813,1_4,1,115327,146,tired_mans_intercept,3.425,172500,0.0,0.45,20,9
2215813,1_5,1,115327,146,tired_mans_intercept,1.36,172500,0.4,0.2692,26,7
2215813,1_6,1,115327,146,tired_mans_intercept,2.356,172500,0.0,0.4359,39,17
2215813,1_7,1,115327,146,tired_mans_intercept,2.522,172500,0.44,0.4286,35,15
2215813,1_8,1,115327,146,tired_mans_intercept,2.508,172500,0.44,0.4286,35,15
2215813,1_9,1,115327,146,tired_mans_intercept,0.0,34522,0.0,0.375,8,3
2215813,2_0,2,115327,146,tired_mans_intercept,3.375,172500,0.0,0.4324,37,16
2215813,2_1,2,115327,146,tired_mans_intercept,3.339,172500,1.0,0.5,34,17
2215813,2_2,2,115327,146,tired_mans_intercept,6.877,172500,1.56,0.5806,31,18
2215813,2_3,2,115327,146,tired_mans_intercept,2.727,172500,0.98,0.4545,22,10
2215813,2_4,2,115327,146,tired_mans_intercept,2.062,172500,0.2,0.4286,42,18
2215813,2_5,2,115327,146,tired_mans_intercept,1.049,172499,0.0,0.4651,43,20
2215813,2_6,2,115327,146,tired_mans_intercept,1.992,172499,0.0,0.4722,36,17
2215813,2_7,2,115327,146,tired_mans_intercept,2.243,172500,1.06,0.5385,26,14
2215813,2_8,2,115327,146,tired_mans_intercept,2.427,172500,0.68,0.5227,44,23
2215813,2_9,2,115327,146,tired_mans_intercept,0.249,117322,0.0,0.5806,31,18
2215813,1_0,1,161950,146,tired_mans_intercept,1.112,172500,0.0,0.5161,31,16
2215813,1_1,1,161950,146,tired_mans_intercept,1.622,172500,0.7,0.4884,43,21
2215813,1_2,1,161950,146,tired_mans_intercept,1.535,172500,0.0,0.2683,41,11
2215813,1_3,1,161950,146,tired_mans_intercept,1.029,172500,0.0,0.5,50,25
2215813,1_4,1,161950,146,tired_mans_intercept,0.895,172500,0.0,0.5116,43,22
2215813,1_5,1,161950,146,tired_mans_intercept,0.812,172500,0.0,0.6279,43,27
2215813,1_6,1,161950,146,tired_mans_intercept,1.56,172500,0.0,0.3404,47,16
2215813,1_7,1,161950,146,tired_mans_intercept,1.645,172500,0.0,0.3947,38,15
2215813,1_8,1,161950,146,tired_mans_intercept,1.289,172500,0.0,0.6486,37,24
2215813,1_9,1,161950,146,tired_mans_intercept,3.4,34522,3.4,0.8333,12,10
2215813,2_0,2,161950,146,tired_mans_intercept,2.571,172500,0.0,0.5536,56,31
