game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,median_latency,failure_rate,n_events,n_failures
2215863,1_0,1,55264,152,tired_mans_intercept,2.275,172500,0.62,0.5,48,24
2215863,1_1,1,55264,152,tired_mans_intercept,3.104,172500,0.88,0.5,44,22
2215863,1_2,1,55264,152,tired_mans_intercept,1.926,172500,0.68,0.5682,44,25
2215863,1_3,1,55264,152,tired_mans_intercept,3.404,172500,0.0,0.5532,47,26
2215863,1_4,1,55264,152,tired_mans_intercept,3.347,172500,0.92,0.5,42,21
2215863,1_5,1,55264,152,tired_mans_intercept,2.534,172500,0.6,0.6818,44,30
2215863,1_6,1,55264,152,tired_mans_intercept,1.85,172500,0.92,0.5745,47,27
2215863,1_7,1,55264,152,tired_mans_intercept,2.724,172500,0.36,0.4242,33,14
2215863,1_8,1,55264,152,tired_mans_intercept,2.395,172500,0.5,0.6333,60,38
2215863,1_9,1,55264,152,tired_mans_intercept,4.107,35672,2.46,0.4,10,4
2215863,2_0,2,55264,152,tired_mans_intercept,1.553,172500,0.72,0.6222,45,28
2215863,2_1,2,55264,152,tired_mans_intercept,3.152,172500,0.0,0.5,30,15
2215863,2_2,2,55264,152,tired_mans_intercept,4.458,172500,1.58,0.3889,36,14
2215863,2_3,2,55264,152,tired_mans_intercept,3.067,172500,1.84,0.7273,33,24
2215863,1_0,1,57112,152,tired_mans_intercept,8.087,172500,4.92,0.625,16,10
2215863,1_1,1,57112,152,tired_mans_intercept,3.347,172500,0.0,0.5714,7,4
2215863,1_2,1,57112,152,tired_mans_intercept,7.296,172500,0.82,0.3333,15,5
2215863,1_3,1,57112,152,tired_mans_intercept,3.75,172500,2.72,0.5,8,4
2215863,1_4,1,57112,152,tired_mans_intercept,3.09,172500,0.64,0.5,24,12
2215863,1_5,1,57112,152,tired_mans_intercept,1.713,172500,0.2,0.5714,14,8
2215863,1_6,1,57112,152,tired_mans_intercept,1.15,172500,0.0,0.36,25,9
2215863,1_7,1,57112,152,tired_mans_intercept,3.176,172500,0.2,0.2857,21,6
2215863,1_8,1,57112,152,tired_mans_intercept,5.356,172500,2.44,0.3125,16,5
2215863,1_9,1,57112,152,tired_mans_intercept,9.04,35672,9.04,0.0,1,0
2215863,2_0,2,57112,152,tired_mans_intercept,1.528,172500,0.84,0.4865,37,18
2215863,2_1,2,57112,152,tired_mans_intercept,3.509,172500,0.2,0.4828,29,14
2215863,2_2,2,57112,152,tired_mans_intercept,2.86,172500,0.9,0.2667,30,8
2215863,2_3,2,57112,152,tired_mans_intercept,8.06,172500,6.34,0.6522,23,15
