game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,median_latency,failure_rate,n_events,n_failures
2215779,1_0,1,42779,153,tired_mans_intercept,1.179,172500,0.0,0.3636,44,16
2215779,1_1,1,42779,153,tired_mans_intercept,1.974,172500,0.84,0.5918,49,29
2215779,1_2,1,42779,153,tired_mans_intercept,2.832,172500,0.52,0.6154,39,24
2215779,1_3,1,42779,153,tired_mans_intercept,1.725,172500,0.0,0.5897,39,23
2215779,1_4,1,42779,153,tired_mans_intercept,1.534,172500,0.64,0.4286,35,15
2215779,1_5,1,42779,153,tired_mans_intercept,1.568,172500,0.0,0.5946,37,22
2215779,1_6,1,42779,153,tired_mans_intercept,4.019,172500,0.56,0.6739,46,31
2215779,1_7,1,42779,153,tired_mans_intercept,3.509,172500,3.48,0.4167,36,15
2215779,1_8,1,42779,153,tired_mans_intercept,1.56,172500,0.0,0.413,46,19
2215779,1_9,1,42779,153,tired_mans_intercept,1.387,72127,0.0,0.1818,11,2
2215779,2_0,2,42779,153,tired_mans_intercept,1.739,172500,0.6,0.5946,37,22
2215779,2_1,2,42779,153,tired_mans_intercept,2.107,172500,0.0,0.3824,34,13
2215779,2_2,2,42779,153,tired_mans_intercept,5.729,172500,1.68,0.5625,32,18
2215779,2_3,2,42779,153,tired_mans_intercept,3.557,172495,1.76,0.5667,30,17
2215779,2_4,2,42779,153,tired_mans_intercept,3.043,172500,0.18,0.3684,38,14
2215779,2_5,2,42779,153,tired_mans_intercept,3.88,172500,2.46,0.5676,37,21
2215779,2_6,2,42779,153,tired_mans_intercept,2.633,172500,0.16,0.575,40,23
2215779,2_7,2,42779,153,tired_mans_intercept,1.486,172500,1.36,0.4792,48,23
2215779,2_8,2,42779,153,tired_mans_intercept,2.13,172500,0.0,0.5116,43,22
2215779,1_0,1,85633,153,tired_mans_intercept,4.46,172500,4.7,0.7333,15,11
2215779,1_1,1,85633,153,tired_mans_intercept,20.68,172500,20.68,0.6667,6,4
2215779,1_2,1,85633,153,tired_mans_intercept,10.284,172500,6.84,0.3571,14,5
2215779,1_3,1,85633,153,tired_mans_intercept,7.96,172500,7.96,0.8571,7,6
2215779,1_4,1,85633,153,tired_mans_intercept,16.032,172500,12.92,0.5833,12,7
2215779,1_5,1,85633,153,tired_mans_intercept,12.2,172500,9.28,0.6364,11,7
2215779,1_6,1,85633,153,tired_mans_intercept,6.933,172500,2.2,0.75,12,9
2215779,1_7,1,85633,153,tired_mans_intercept,3.81,172500,1.88,0.4286,14,6
2215779,1_8,1,85633,153,tired_mans_intercept,5.27,172500,2.2,0.5294,17,9
2215779,1_9,1,85633,153,tired_mans_intercept,51.0,72127,51.0,0.8333,6,5
2215779,2_0,2,85633,153,tired_mans_intercept,10.909,172500,3.88,0.4615,13,6
2215779,2_1,2,85633,153,tired_mans_intercept,9.12,172500,9.12,0.8182,11,9
2215779,2_2,2,85633,153,tired_mans_intercept,16.064,172500,8.44,0.6429,14,9
2215779,2_3,2,85633,153,tired_mans_intercept,4.82,172495,4.82,0.75,8,6
2215779,2_4,2,85633,153,tired_mans_intercept,13.73,172500,13.64,0.3333,6,2
2215779,2_5,2,85633,153,tired_mans_intercept,2.336,172500,2.56,0.4444,9,4
2215779,2_6,2,85633,153,tired_mans_intercept,3.36,172500,3.36,0.8,10,8
2215779,2_7,2,85633,153,tired_mans_intercept,5.98,172500,5.98,0.6,5,3
2215779,2_8,2,85633,153,tired_mans_intercept,3.523,172500,1.84,0.5357,28,15
2215779,2_9,2,85633,153,tired_mans_intercept,2.68,114953,1.16,0.0,3,0
2215779,1_0,1,106551,153,tired_mans_intercept,2.658,172500,0.22,0.5349,43,23
2215779,1_1,1,106551,153,tired_mans_intercept,3.24,172500,0.1,0.4894,47,23
2215779,1_2,1,106551,153,tired_mans_intercept,1.493,172500,0.0,0.5417,48,26
2215779,1_3,1,106551,153,tired_mans_intercept,5.572,172500,1.62,0.4667,30,14
2215779,1_0,1,143685,153,tired_mans_intercept,2.661,172500,0.92,0.3462,26,9
2215779,1_1,1,143685,153,tired_mans_intercept,2.01,172500,0.72,0.4103,39,16
2215779,1_2,1,143685,153,tired_mans_intercept,2.714,172500,0.82,0.5758,33,19
2215779,1_3,1,143685,153,tired_mans_intercept,3.696,172500,1.44,0.4848,33,16
2215779,1_4,1,143685,153,tired_mans_intercept,1.933,172500,0.8,0.5429,35,19
2215779,1_5,1,143685,153,tired_mans_intercept,3.602,172500,0.98,0.25,32,8
2215779,1_6,1,143685,153,tired_mans_intercept,2.463,172500,0.88,0.5152,33,17
2215779,1_7,1,143685,153,tired_mans_intercept,3.682,172500,0.24,0.1739,23,4
2215779,1_8,1,143685,153,tired_mans_intercept,2.261,172500,1.44,0.4138,29,12
2215779,1_9,1,143685,153,tired_mans_intercept,6.28,72127,1.14,0.4,10,4
2215779,2_0,2,143685,153,tired_mans_intercept,3.234,172500,2.6,0.5185,27,14
2215779,2_1,2,143685,153,tired_mans_intercept,4.757,172500,3.64,0.5938,32,19
2215779,2_2,2,143685,153,tired_mans_intercept,2.445,172500,1.64,0.3333,24,8
2215779,2_3,2,143685,153,tired_mans_intercept,2.171,172495,0.92,0.6207,29,18
2215779,2_4,2,143685,153,tired_mans_intercept,2.368,172500,0.0,0.3871,31,12
2215779,2_5,2,143685,153,tired_mans_intercept,3.891,172500,0.0,0.4571,35,16
2215779,2_6,2,143685,153,tired_mans_intercept,4.157,172500,1.16,0.5161,31,16
2215779,2_7,2,143685,153,tired_mans_intercept,4.993,172500,2.46,0.5385,26,14
2215779,2_8,2,143685,153,tired_mans_intercept,4.287,172500,1.04,0.4516,31,14
2215779,2_9,2,143685,153,tired_mans_intercept,1.556,114953,0.0,0.5,20,10
2215779,1_0,1,168539,153,tired_mans_intercept,1.558,172500,0.8,0.549,51,28
2215779,1_1,1,168539,153,tired_mans_intercept,1.314,172500,0.18,0.4615,52,24
2215779,1_2,1,168539,153,tired_mans_intercept,1.631,172500,0.92,0.5185,27,14
2215779,1_3,1,168539,153,tired_mans_intercept,1.603,172500,0.56,0.5,30,15
2215779,1_4,1,168539,153,tired_mans_intercept,1.803,172500,0.0,0.3953,43,17
2215779,1_5,1,168539,153,tired_mans_intercept,2.855,172500,0.0,0.525,40,21
2215779,1_6,1,168539,153,tired_mans_intercept,1.496,172500,0.0,0.4737,57,27
2215779,1_7,1,168539,153,tired_mans_intercept,1.671,172500,0.0,0.3947,38,15
2215779,1_8,1,168539,153,tired_mans_intercept,1.56,172500,0.0,0.4634,41,19
2215779,1_9,1,168539,153,tired_mans_intercept,1.777,72127,0.44,0.4615,13,6
2215779,2_0,2,168539,153,tired_mans_intercept,2.408,172500,0.56,0.625,40,25
2215779,2_1,2,168539,153,tired_mans_intercept,2.503,172500,0.0,0.6667,36,24
2215779,2_2,2,168539,153,tired_mans_intercept,2.268,172500,0.0,0.7111,45,32
2215779,2_3,2,168539,153,tired_mans_intercept,5.069,172495,0.0,0.5217,23,12
2215779,1_3,1,174908,153,tired_mans_intercept,0.0,172500,0.0,0.0,1,0
2215779,1_4,1,174908,153,tired_mans_intercept,2.173,172500,0.68,0.5957,47,28
2215779,1_5,1,174908,153,tired_mans_intercept,1.8,172500,1.28,0.6136,44,27
2215779,1_6,1,174908,153,tired_mans_intercept,3.465,172500,1.48,0.5581,43,24
2215779,1_7,1,174908,153,tired_mans_intercept,2.252,172500,0.22,0.5636,55,31
2215779,1_8,1,174908,153,tired_mans_intercept,2.805,172500,1.32,0.5854,41,24
2215779,1_9,1,174908,153,tired_mans_intercept,1.905,72127,0.44,0.4091,22,9
2215779,2_0,2,174908,153,tired_mans_intercept,1.418,172500,0.0,0.561,41,23
2215779,2_1,2,174908,153,tired_mans_intercept,4.603,172500,3.2,0.6176,34,21
2215779,2_2,2,174908,153,tired_mans_intercept,3.053,172500,0.32,0.5778,45,26
2215779,2_3,2,174908,153,tired_mans_intercept,1.109,172495,0.0,0.5946,37,22
2215779,2_4,2,174908,153,tired_mans_intercept,3.232,172500,1.04,0.4318,44,19
2215779,2_5,2,174908,153,tired_mans_intercept,4.04,172500,1.2,0.5909,44,26
2215779,2_6,2,174908,153,tired_mans_intercept,2.783,172500,0.96,0.4878,41,20
2215779,2_7,2,174908,153,tired_mans_intercept,2.638,172500,0.28,0.4848,33,16
2215779,2_8,2,174908,153,tired_mans_intercept,1.623,172500,0.4,0.5294,51,27
2215779,2_9,2,174908,153,tired_mans_intercept,2.04,114953,1.24,0.625,24,15
2215779,1_0,1,203368,153,tired_mans_intercept,1.39,172500,0.22,0.4074,27,11
2215779,1_1,1,203368,153,tired_mans_intercept,2.88,172500,1.0,0.5484,31,17
2215779,1_2,1,203368,153,tired_mans_intercept,3.804,172500,1.56,0.4375,32,14
2215779,1_3,1,203368,153,tired_mans_intercept,3.371,172500,3.04,0.5769,26,15
2215779,1_4,1,203368,153,tired_mans_intercept,1.053,172500,0.0,0.4231,26,11
2215779,1_5,1,203368,153,tired_mans_intercept,2.496,172500,0.0,0.4828,29,14
2215779,1_6,1,203368,153,tired_mans_intercept,3.44,172500,2.4,0.5,26,13
2215779,1_7,1,203368,153,tired_mans_intercept,3.176,172500,0.4,0.2667,30,8
2215779,1_8,1,203368,153,tired_mans_intercept,3.883,172500,1.86,0.4783,23,11
2215779,1_9,1,203368,153,tired_mans_intercept,1.765,72127,0.0,0.3333,12,4
2215779,2_0,2,203368,153,tired_mans_intercept,5.004,172500,0.0,0.4474,38,17
2215779,2_1,2,203368,153,tired_mans_intercept,2.32,172500,1.36,0.5938,32,19
2215779,2_2,2,203368,153,tired_mans_intercept,3.377,172500,1.0,0.6129,31,19
2215779,2_3,2,203368,153,tired_mans_intercept,3.226,172495,0.46,0.4167,24,10
2215779,2_4,2,203368,153,tired_mans_intercept,3.115,172500,0.08,0.3333,24,8
2215779,2_5,2,203368,153,tired_mans_intercept,2.03,172500,0.0,0.4,40,16
2215779,2_6,2,203368,153,tired_mans_intercept,2.651,172500,0.84,0.5581,43,24
2215779,2_7,2,203368,153,tired_mans_intercept,2.427,172500,0.0,0.5946,37,22
2215779,2_8,2,203368,153,tired_mans_intercept,2.21,172500,0.54,0.4595,37,17
2215779,2_9,2,203368,153,tired_mans_intercept,3.176,114953,0.0,0.5,20,10
2215779,2_3,2,214254,153,tired_mans_intercept,0.8,172495,0.8,0.75,4,3
2215779,2_4,2,214254,153,tired_mans_intercept,2.987,172500,0.0,0.4054,37,15
2215779,2_5,2,214254,153,tired_mans_intercept,1.171,172500,0.0,0.5366,41,22
2215779,2_6,2,214254,153,tired_mans_intercept,0.628,172500,0.0,0.6154,52,32
2215779,2_7,2,214254,153,tired_mans_intercept,0.911,172500,0.0,0.5263,57,30
2215779,2_8,2,214254,153,tired_mans_intercept,1.822,172500,0.0,0.5455,44,24
2215779,2_9,2,214254,153,tired_mans_intercept,1.685,114953,0.56,0.3478,23,8
2215779,1_0,1,226451,153,tired_mans_intercept,1.456,172500,0.0,0.4808,52,25
2215779,1_1,1,226451,153,tired_mans_intercept,2.15,172500,0.4,0.5556,45,25
2215779,1_2,1,226451,153,tired_mans_intercept,3.65,172500,1.2,0.4667,30,14
2215779,1_3,1,226451,153,tired_mans_intercept,1.235,172500,0.74,0.5676,37,21
2215779,1_4,1,226451,153,tired_mans_intercept,1.053,172500,0.16,0.5192,52,27
2215779,1_5,1,226451,153,tired_mans_intercept,2.581,172500,0.16,0.4516,31,14
2215779,1_6,1,226451,153,tired_mans_intercept,2.24,172500,0.34,0.45,40,18
2215779,1_7,1,226451,153,tired_mans_intercept,4.971,172500,1.94,0.5333,30,16
2215779,1_8,1,226451,153,tired_mans_intercept,2.269,172500,0.0,0.3793,29,11
2215779,1_9,1,226451,153,tired_mans_intercept,1.072,72127,0.0,0.1667,6,1
2215779,2_0,2,226451,153,tired_mans_intercept,2.661,172500,0.0,0.5,30,15
2215779,2_1,2,226451,153,tired_mans_intercept,2.198,172500,1.16,0.4706,34,16
2215779,2_2,2,226451,153,tired_mans_intercept,3.263,172500,2.32,0.6842,38,26
2215779,2_3,2,226451,153,tired_mans_intercept,3.803,172495,0.94,0.5882,34,20
2215779,2_4,2,226451,153,tired_mans_intercept,0.916,172500,0.0,0.383,47,18
2215779,2_5,2,226451,153,tired_mans_intercept,2.52,172500,0.0,0.5556,36,20
2215779,2_6,2,226451,153,tired_mans_intercept,2.301,172500,0.0,0.6042,48,29
2215779,2_7,2,226451,153,tired_mans_intercept,1.607,172500,0.0,0.4146,41,17
2215779,2_8,2,226451,153,tired_mans_intercept,1.703,172500,0.24,0.3684,38,14
2215779,2_9,2,226451,153,tired_mans_intercept,1.449,114953,0.0,0.5185,27,14
2215779,1_0,1,228322,153,tired_mans_intercept,2.464,172500,0.98,0.3714,35,13
2215779,1_1,1,228322,153,tired_mans_intercept,3.903,172500,0.8,0.3871,31,12
2215779,1_2,1,228322,153,tired_mans_intercept,4.437,172500,0.38,0.4815,27,13
2215779,1_3,1,228322,153,tired_mans_intercept,7.825,172500,1.64,0.5,26,13
2215779,1_4,1,228322,153,tired_mans_intercept,5.026,172500,1.86,0.4815,27,13
2215779,1_5,1,228322,153,tired_mans_intercept,3.462,172500,0.0,0.25,36,9
2215779,1_6,1,228322,153,tired_mans_intercept,0.85,172500,0.34,0.6129,31,19
