game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,median_latency,failure_rate,n_events,n_failures
2215783,1_0,1,59957,143,tired_mans_intercept,3.528,172500,1.24,0.5714,35,20
2215783,1_1,1,59957,143,tired_mans_intercept,2.197,172500,0.92,0.4583,24,11
2215783,1_2,1,59957,143,tired_mans_intercept,4.744,172500,2.68,0.5833,12,7
2215783,1_3,1,59957,143,tired_mans_intercept,5.016,172500,2.72,0.7059,17,12
2215783,1_4,1,59957,143,tired_mans_intercept,2.096,172500,0.52,0.1667,12,2
2215783,1_5,1,59957,143,tired_mans_intercept,3.873,172500,2.68,0.3529,17,6
2215783,1_6,1,59957,143,tired_mans_intercept,2.349,172500,0.6,0.5882,17,10
2215783,1_7,1,59957,143,tired_mans_intercept,10.2,172500,4.96,0.6667,18,12
2215783,1_8,1,59957,143,tired_mans_intercept,6.64,172500,4.96,0.375,8,3
2215783,1_9,1,59957,143,tired_mans_intercept,1.62,90872,1.62,0.7778,9,7
2215783,2_0,2,59957,143,tired_mans_intercept,13.147,172500,5.64,0.5,6,3
2215783,2_1,2,59957,143,tired_mans_intercept,1.449,172500,1.84,0.0,9,0
2215783,2_2,2,59957,143,tired_mans_intercept,1.76,172499,1.0,0.6667,9,6
2215783,2_3,2,59957,143,tired_mans_intercept,3.52,172500,1.32,0.5294,17,9
2215783,2_4,2,59957,143,tired_mans_intercept,4.575,172500,2.32,0.56,25,14
2215783,2_5,2,59957,143,tired_mans_intercept,2.424,172500,1.96,0.6667,15,10
2215783,2_6,2,59957,143,tired_mans_intercept,5.112,172498,4.92,0.4444,9,4
2215783,2_7,2,59957,143,tired_mans_intercept,18.26,172500,16.86,0.7647,17,13
2215783,2_8,2,59957,143,tired_mans_intercept,9.147,172500,8.2,0.4,5,2
2215783,1_0,1,122399,143,tired_mans_intercept,2.009,172500,0.08,0.5385,39,21
2215783,1_1,1,122399,143,tired_mans_intercept,1.896,172500,0.94,0.2308,26,6
2215783,1_2,1,122399,143,tired_mans_intercept,1.252,172500,0.0,0.5294,51,27
2215783,1_3,1,122399,143,tired_mans_intercept,3.864,172500,1.88,0.3947,38,15
2215783,1_4,1,122399,143,tired_mans_intercept,3.296,172500,0.8,0.2593,27,7
2215783,1_5,1,122399,143,tired_mans_intercept,2.688,172500,0.36,0.6774,31,21
2215783,1_6,1,122399,143,tired_mans_intercept,1.425,172500,0.0,0.4062,32,13
2215783,1_7,1,122399,143,tired_mans_intercept,3.831,172500,0.96,0.6061,33,20
