game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,n_presses,mean_intercept_prob,p90_tti,total_correct,total_wasteful,pressing_accuracy
2215788,1_0,1,40691,143,pressing_accuracy,0.3422330097087379,7499,1236,0.08071825641267116,24.90024444528413,423,813,0.3422330097087379
2215788,1_0,1,59957,143,pressing_accuracy,0.4375,2701,128,0.02176999180027994,212.69151440036455,56,72,0.4375
2215788,1_0,1,109533,143,pressing_accuracy,0.43103448275862066,7499,522,0.06621836078667111,33.14703785781291,225,297,0.43103448275862066
2215788,1_0,1,122399,143,pressing_accuracy,0.6887966804979253,7499,723,0.20084503668328776,8.825833766951154,498,225,0.6887966804979253
2215788,1_0,1,158047,143,pressing_accuracy,0.6002824858757062,7499,708,0.12386613242538473,13.996722882770142,425,283,0.6002824858757062
2215788,1_0,1,224024,143,pressing_accuracy,0.43993759750390016,7499,641,0.11395117725296186,13.297566761280027,282,359,0.43993759750390016
2215788,1_0,1,231372,143,pressing_accuracy,0.45024271844660196,7499,824,0.0898321564427717,19.45277121431512,371,453,0.45024271844660196
2215788,1_0,1,231961,143,pressing_accuracy,0.41696750902527074,7499,554,0.07782043988067103,47.97923118040563,231,323,0.41696750902527074
2215788,1_0,1,441240,143,pressing_accuracy,0.3592156862745098,7499,1275,0.07669329975322545,24.9918908477696,458,817,0.3592156862745098
2215788,1_0,1,468657,143,pressing_accuracy,0.445369406867846,7499,961,0.06526422131808773,24.69292639492729,428,533,0.445369406867846
2215788,1_0,1,482609,143,pressing_accuracy,0.08561643835616438,7499,876,0.014783327521477966,82.99419716843407,75,801,0.08561643835616438
2215788,1_1,1,40691,143,pressing_accuracy,0.6048502139800286,7499,701,0.07186457419973648,27.55262931701284,424,277,0.6048502139800286
2215788,1_1,1,59957,143,pressing_accuracy,0.0,2816,0,6.486394906420809e-20,216.85021717863793,0,0,0.0
2215788,1_1,1,109533,143,pressing_accuracy,0.2476780185758514,7499,646,0.06011454840252701,27.56954430460754,160,486,0.2476780185758514
