game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames,total_distance,hsr_distance,sprint_distance,hsr_efforts,avg_speed,max_speed
2215836,1_0,1,42713,140,physical_load,321.752,7499,321.752,0.0,0.0,0,1.073,3.547
2215836,1_0,1,229670,140,physical_load,614.453,7499,614.453,28.847,9.542,2,2.049,8.808
2215836,1_0,1,504215,140,physical_load,661.083,7499,661.083,0.0,0.0,0,2.204,6.648
2215836,1_0,1,437504,140,physical_load,688.208,7499,688.208,7.74,2.59,1,2.295,8.133
2215836,1_0,1,233821,140,physical_load,658.704,7499,658.704,12.813,0.0,1,2.196,7.712
2215836,1_0,1,52573,140,physical_load,616.41,7499,616.41,0.0,0.0,0,2.055,6.458
2215836,1_0,1,201440,140,physical_load,657.108,7499,657.108,19.882,12.307,1,2.191,8.498
2215836,1_0,1,96764,140,physical_load,617.339,7499,617.339,37.47,13.697,3,2.058,9.097
2215836,1_0,1,59017,140,physical_load,608.51,7499,608.51,0.0,0.0,0,2.029,6.838
2215836,1_0,1,26894,1395,physical_load,524.345,7499,524.345,0.0,0.0,0,1.748,6.955
2215836,1_0,1,523685,140,physical_load,619.662,7499,619.662,5.827,0.0,0,2.066,7.441
2215836,1_0,1,198240,140,physical_load,582.177,7499,582.177,25.678,0.0,2,1.941,7.607
2215836,1_0,1,73965,1395,physical_load,581.347,7499,581.347,18.79,0.0,1,1.938,7.898
2215836,1_0,1,222683,1395,physical_load,605.846,7499,605.846,0.0,0.0,0,2.02,6.906
2215836,1_0,1,480779,1395,physical_load,693.311,7499,693.311,27.812,10.068,2,2.311,9.04
2215836,1_0,1,462116,1395,physical_load,569.424,7499,569.424,8.25,0.0,1,1.898,7.57
2215836,1_0,1,437925,1395,physical_load,627.94,7499,627.94,0.0,0.0,0,2.093,6.916
2215836,1_0,1,437497,1395,physical_load,640.444,7499,640.444,4.84,0.0,0,2.135,7.18
2215836,1_0,1,-1,-1,physical_load,1424.921,7499,1424.921,925.847,845.613,30,4.695,31.785
2215836,1_0,1,214860,1395,physical_load,659.097,7499,659.097,0.0,0.0,0,2.197,6.461
2215836,1_0,1,209914,1395,physical_load,609.314,7499,609.314,0.0,0.0,0,2.032,6.878
2215836,1_0,1,121709,1395,physical_load,224.983,7499,224.983,0.0,0.0,0,0.75,5.467
2215836,1_0,1,242887,1395,physical_load,642.798,7499,642.798,0.0,0.0,0,2.143,6.343
2215836,1_1,1,42713,140,physical_load,358.459,7499,358.459,0.0,0.0,0,1.195,4.952
2215836,1_1,1,229670,140,physical_load,741.163,7499,741.163,51.132,24.813,2,2.47,8.837
2215836,1_1,1,504215,140,physical_load,773.823,7499,773.823,4.856,0.0,0,2.579,7.219
2215836,1_1,1,437504,140,physical_load,803.847,7499,803.847,7.185,0.0,1,2.679,7.276
2215836,1_1,1,233821,140,physical_load,737.247,7499,737.247,6.071,0.0,0,2.457,7.341
2215836,1_1,1,52573,140,physical_load,757.687,7499,757.687,23.703,11.795,1,2.526,8.309
2215836,1_1,1,201440,140,physical_load,679.734,7499,679.734,19.674,9.78,1,2.266,8.218
2215836,1_1,1,96764,140,physical_load,641.963,7499,641.963,52.165,20.632,4,2.14,9.283
2215836,1_1,1,59017,140,physical_load,731.022,7499,731.022,36.395,13.317,3,2.437,8.606
2215836,1_1,1,26894,1395,physical_load,582.924,7499,582.924,12.447,0.0,1,1.943,7.617
2215836,1_1,1,523685,140,physical_load,707.878,7499,707.878,20.236,0.0,1,2.359,7.551
2215836,1_1,1,198240,140,physical_load,658.203,7499,658.203,72.987,0.0,4,2.194,7.719
2215836,1_1,1,73965,1395,physical_load,707.698,7499,707.698,67.755,23.789,3,2.359,9.151
2215836,1_1,1,222683,1395,physical_load,752.8,7499,752.8,78.453,27.554,4,2.509,8.847
2215836,1_1,1,480779,1395,physical_load,776.003,7499,776.003,33.949,1.931,2,2.587,8.058
2215836,1_1,1,462116,1395,physical_load,602.404,7499,602.404,0.0,0.0,0,2.008,6.849
2215836,1_1,1,437925,1395,physical_load,637.451,7499,637.451,17.523,0.0,2,2.125,7.768
2215836,1_1,1,437497,1395,physical_load,704.839,7499,704.839,2.259,0.0,0,2.349,7.085
2215836,1_1,1,-1,-1,physical_load,1570.312,7499,1570.312,1083.87,1017.811,32,5.18,36.559
2215836,1_1,1,214860,1395,physical_load,770.222,7499,770.222,10.873,0.0,1,2.567,7.819
2215836,1_1,1,209914,1395,physical_load,789.633,7499,789.633,10.226,0.0,1,2.632,7.822
2215836,1_1,1,121709,1395,physical_load,212.239,7499,212.239,0.0,0.0,0,0.707,4.952
2215836,1_1,1,242887,1395,physical_load,758.415,7499,758.415,10.84,0.0,1,2.528,7.618
2215836,1_2,1,42713,140,physical_load,278.353,7499,278.353,0.0,0.0,0,0.928,4.771
2215836,1_2,1,229670,140,physical_load,477.905,7499,477.905,8.544,0.0,1,1.594,7.556
2215836,1_2,1,504215,140,physical_load,589.0,7499,589.0,6.916,1.553,0,1.964,10.197
2215836,1_2,1,437504,140,physical_load,586.37,7499,586.37,19.923,0.743,1,1.955,8.128
2215836,1_2,1,233821,140,physical_load,552.489,7499,552.489,0.0,0.0,0,1.842,6.367
2215836,1_2,1,52573,140,physical_load,554.929,7499,554.929,18.971,0.0,1,1.85,7.519
2215836,1_2,1,201440,140,physical_load,584.41,7499,584.41,12.91,4.916,1,1.949,8.299
