block_id,player_id,team_id_opta,n_frames_opp,opponents_nearby_mean,opponents_nearby_std,n_frames_depth,depth_mean,depth_std,n_frames_reo,reorientation_count,transition_count,phase,block_num,n_frames,reorientation_rate,transition_rate,game_id
1_0,50148,1983,2174,0.6430542778288868,0.658610130746276,2174,55.46279091707442,10.237161912222833,2174,410,0,1,0,50000,12.299999999999999,0.0,2215837
1_0,72147,862,2174,0.19181232750689972,0.3937262482020796,2174,101.93332767187084,3.4491448963901576,2174,375,0,1,0,50000,11.25,0.0,2215837
1_0,72177,862,2174,0.468721251149954,0.5241952017250732,2174,71.04304399406244,8.794088828120753,2174,298,0,1,0,50000,8.94,0.0,2215837
1_0,86443,1983,2174,0.6172953081876725,0.7182691862558417,2174,65.32273512241731,11.813332240536486,2174,400,1,1,0,50000,12.0,0.03,2215837
1_0,95581,1983,2174,0.05841766329346826,0.23453153286668987,2174,38.67180395468629,7.304575071739232,2174,517,0,1,0,50000,15.509999999999998,0.0,2215837
1_0,113541,862,2174,0.35234590616375344,0.47770102425407973,2174,82.6149272176668,8.477199598121492,2174,366,0,1,0,50000,10.979999999999999,0.0,2215837
1_0,162316,862,2174,0.5298988040478381,0.5055153844610593,2174,84.04240155318227,10.115702581201415,2174,279,0,1,0,50000,8.37,0.0,2215837
1_0,169141,862,2174,0.5280588776448942,0.5575394460340264,2174,57.486748866223124,8.393825733692792,2174,431,0,1,0,50000,12.93,0.0,2215837
1_0,179089,1983,2174,0.21297148114075437,0.40940765669619283,2174,39.061212008230804,8.458667379805453,2174,468,1,1,0,50000,14.04,0.03,2215837
1_0,184962,1983,2174,0.08831646734130635,0.3302052818827835,2174,48.13952688479128,10.429383209097882,2174,283,0,1,0,50000,8.49,0.0,2215837
1_0,193411,862,2173,0.3902439024390244,0.48780487804878053,2173,73.64810188136794,10.096919109500671,2173,396,0,1,0,50000,11.879999999999999,0.0,2215837
1_0,214244,1983,2174,0.02621895124195032,0.15978584992959344,2174,47.04811308054346,12.071983231397473,2174,364,0,1,0,50000,10.92,0.0,2215837
1_0,217557,862,2174,0.17571297148114076,0.38057577843894447,2174,66.89222237590495,8.114946419672643,2174,314,0,1,0,50000,9.42,0.0,2215837
1_0,219873,862,2174,0.26356945722171116,0.440568494608459,2174,67.9072084276629,6.787445479131261,2174,437,0,1,0,50000,13.11,0.0,2215837
1_0,220074,862,2174,0.23275068997240111,0.465076657713674,2174,81.00942581514514,8.202168092539564,2174,466,1,1,0,50000,13.979999999999999,0.03,2215837
1_0,232524,1983,2174,0.7897884084636615,0.7794902276658956,2174,65.96848265847143,10.4090603777389,2174,489,0,1,0,50000,14.669999999999998,0.0,2215837
1_0,439777,1983,2174,0.18491260349586017,0.4706985224935197,2174,33.02480055073356,10.60465696969659,2174,306,1,1,0,50000,9.18,0.03,2215837
1_0,447547,862,2173,0.24804417855499308,0.43187760307750606,2173,79.82088388954469,7.888307411619259,2173,417,0,1,0,50000,12.51,0.0,2215837
1_0,458315,1983,2174,0.5593376264949402,0.6589017674754128,2174,56.88664336288771,11.082310556097758,2174,306,1,1,0,50000,9.18,0.03,2215837
1_0,458316,1983,2174,0.7410303587856486,0.643129456407028,2174,87.77793042527183,5.408111482715131,2174,201,0,1,0,50000,6.029999999999999,0.0,2215837
1_0,465158,1983,2174,0.3578656853725851,0.6214431437031267,2174,41.85308182277156,10.731907843462798,2174,346,2,1,0,50000,10.379999999999999,0.06,2215837
1_0,474843,862,2174,0.8983440662373505,0.7230385511048728,2174,57.58589817331751,6.920156382592197,2174,332,0,1,0,50000,9.959999999999999,0.0,2215837
