game_id,block_id,phase,player_id,team_id_opta,signal_name,signal_value,n_frames
2215874,1_4,1,114531,145,shift_latency,1.352,7499
2215874,1_4,1,116406,149,shift_latency,0.794,7499
2215874,1_4,1,129479,149,shift_latency,1.669,7499
2215874,1_4,1,220160,149,shift_latency,0.9,7499
2215874,1_4,1,223760,149,shift_latency,1.251,7499
2215874,1_4,1,228254,145,shift_latency,1.013,7499
2215874,1_4,1,229395,145,shift_latency,1.535,7499
2215874,1_4,1,231058,145,shift_latency,1.211,7499
2215874,1_4,1,476502,145,shift_latency,1.165,7499
2215874,1_4,1,482442,145,shift_latency,1.4,7499
2215874,1_4,1,482975,145,shift_latency,1.228,7499
2215874,1_4,1,531075,145,shift_latency,1.188,7499
2215874,1_5,1,17861,149,shift_latency,1.069,7499
2215874,1_5,1,19054,149,shift_latency,1.724,7499
2215874,1_5,1,28411,149,shift_latency,1.556,7499
2215874,1_5,1,45109,145,shift_latency,1.487,7499
2215874,1_5,1,46497,149,shift_latency,1.764,7499
2215874,1_5,1,61170,149,shift_latency,1.11,7499
2215874,1_5,1,61278,149,shift_latency,1.297,7499
2215874,1_5,1,85548,145,shift_latency,1.262,7499
2215874,1_5,1,87668,149,shift_latency,1.02,7499
2215874,1_5,1,107925,145,shift_latency,1.221,7499
2215874,1_5,1,114531,145,shift_latency,1.164,7499
2215874,1_5,1,116406,149,shift_latency,1.28,7499
2215874,1_5,1,129479,149,shift_latency,1.033,7499
2215874,1_5,1,220160,149,shift_latency,0.86,7499
2215874,1_5,1,223760,149,shift_latency,1.353,7499
2215874,1_5,1,228254,145,shift_latency,1.375,7499
2215874,1_5,1,229395,145,shift_latency,1.502,7499
2215874,1_5,1,231058,145,shift_latency,1.416,7499
2215874,1_5,1,476502,145,shift_latency,1.165,7499
2215874,1_5,1,482442,145,shift_latency,1.247,7499
2215874,1_5,1,482975,145,shift_latency,1.403,7499
2215874,1_5,1,531075,145,shift_latency,1.209,7499
2215874,1_6,1,17861,149,shift_latency,1.044,7499
2215874,1_6,1,19054,149,shift_latency,1.232,7499
2215874,1_6,1,28411,149,shift_latency,1.327,7499
2215874,1_6,1,45109,145,shift_latency,1.251,7499
2215874,1_6,1,46497,149,shift_latency,1.42,7499
2215874,1_6,1,61170,149,shift_latency,1.09,7499
2215874,1_6,1,61278,149,shift_latency,1.476,7499
2215874,1_6,1,85548,145,shift_latency,0.964,7499
2215874,1_6,1,87668,149,shift_latency,1.284,7499
2215874,1_6,1,107925,145,shift_latency,1.175,7499
2215874,1_6,1,114531,145,shift_latency,1.172,7499
2215874,1_6,1,116406,149,shift_latency,1.4,7499
2215874,1_6,1,129479,149,shift_latency,1.742,7499
2215874,1_6,1,220160,149,shift_latency,1.433,7499
2215874,1_6,1,223760,149,shift_latency,1.676,7499
2215874,1_6,1,228254,145,shift_latency,1.046,7499
2215874,1_6,1,229395,145,shift_latency,1.46,7499
2215874,1_6,1,231058,145,shift_latency,1.32,7499
2215874,1_6,1,476502,145,shift_latency,1.277,7499
